numCells,numAuctioneers,concurrentAuctionsPerAuctioneer,maxBiddingPoolFraction,algorithm,scenario,# auctions,communication,waitTime,biddingTime,distributionScore,nMissing
100,100,1,0.05,compare_to_percentile,10% start,1000,12216,8.76,0.93,0.0046,0
100,100,1,0.05,compare_to_percentile,cold start,6300,75924,54.51,1.09,0.0148,0
100,100,1,0.05,compare_to_percentile,rolling deploy,500,6060,4.52,1.09,0.0609,0
100,100,1,0.05,all_rebid,10% start,1000,21210,8.79,0.94,0.0037,0
100,100,1,0.05,all_rebid,cold start,6300,134400,56.63,1.55,0.0175,0
100,100,1,0.05,all_rebid,rolling deploy,500,10605,4.55,0.96,0.0514,0
100,100,1,0.10,compare_to_percentile,10% start,1000,12204,8.88,0.96,0.0042,0
100,100,1,0.10,compare_to_percentile,cold start,6300,76608,56.03,1.02,0.0169,0
100,100,1,0.10,compare_to_percentile,rolling deploy,500,6024,4.41,1.06,0.0540,0
100,100,1,0.10,all_rebid,10% start,1000,21126,8.75,1.01,0.0038,0
100,100,1,0.10,all_rebid,cold start,6300,133161,54.62,1.09,0.0179,0
100,100,1,0.10,all_rebid,rolling deploy,500,10605,4.46,1.03,0.0434,0
100,100,1,0.20,compare_to_percentile,10% start,1000,22396,8.82,1.07,0.0040,0
100,100,1,0.20,compare_to_percentile,cold start,6300,140426,54.73,1.11,0.0133,0
100,100,1,0.20,compare_to_percentile,rolling deploy,500,11066,4.50,1.11,0.0095,0
100,100,1,0.20,all_rebid,10% start,1000,41697,8.88,1.07,0.0027,0
100,100,1,0.20,all_rebid,cold start,6300,262113,54.90,1.11,0.0130,0
100,100,1,0.20,all_rebid,rolling deploy,500,20664,4.48,0.96,0.0095,0
100,100,2,0.05,compare_to_percentile,10% start,1000,12348,4.54,1.08,0.0047,0
100,100,2,0.05,compare_to_percentile,cold start,6300,76404,27.73,1.06,0.0160,0
100,100,2,0.05,compare_to_percentile,rolling deploy,500,6072,2.64,1.06,0.0458,0
100,100,2,0.05,all_rebid,10% start,1000,21357,4.53,1.06,0.0032,0
100,100,2,0.05,all_rebid,cold start,6300,133791,27.73,1.11,0.0183,0
100,100,2,0.05,all_rebid,rolling deploy,500,10647,2.68,0.92,0.0458,0
100,100,2,0.10,compare_to_percentile,10% start,1000,12288,4.50,1.10,0.0046,0
100,100,2,0.10,compare_to_percentile,cold start,6300,76872,27.66,1.08,0.0163,0
100,100,2,0.10,compare_to_percentile,rolling deploy,500,6096,2.67,0.93,0.0375,0
100,100,2,0.10,all_rebid,10% start,1000,21609,4.47,0.93,0.0048,0
100,100,2,0.10,all_rebid,cold start,6300,134064,27.76,1.29,0.0151,0
100,100,2,0.10,all_rebid,rolling deploy,500,10626,2.67,1.06,0.0451,0
100,100,2,0.20,compare_to_percentile,10% start,1000,23210,4.44,0.93,0.0032,0
100,100,2,0.20,compare_to_percentile,cold start,6300,141900,27.61,1.62,0.0161,0
100,100,2,0.20,compare_to_percentile,rolling deploy,500,11110,2.67,0.92,0.0095,0
100,100,2,0.20,all_rebid,10% start,1000,42517,4.53,1.09,0.0027,0
100,100,2,0.20,all_rebid,cold start,6300,264655,27.81,1.29,0.0166,0
100,100,2,0.20,all_rebid,rolling deploy,500,20951,2.71,1.05,0.0095,0
100,100,5,0.05,compare_to_percentile,10% start,1000,14316,1.92,1.09,0.0042,0
100,100,5,0.05,compare_to_percentile,cold start,6300,78804,11.27,1.03,0.0184,0
100,100,5,0.05,compare_to_percentile,rolling deploy,500,6708,0.92,0.92,0.0338,0
100,100,5,0.05,all_rebid,10% start,1000,23667,2.02,1.12,0.0052,0
100,100,5,0.05,all_rebid,cold start,6300,137718,11.33,1.08,0.0184,0
100,100,5,0.05,all_rebid,rolling deploy,500,12012,1.10,1.10,0.0263,0
100,100,5,0.10,compare_to_percentile,10% start,1000,13632,1.82,0.95,0.0034,0
100,100,5,0.10,compare_to_percentile,cold start,6300,80484,11.33,1.10,0.0165,0
100,100,5,0.10,compare_to_percentile,rolling deploy,500,6648,1.07,1.06,0.0373,0
100,100,5,0.10,all_rebid,10% start,1000,23436,1.97,1.10,0.0045,0
100,100,5,0.10,all_rebid,cold start,6300,137066,11.35,1.10,0.0191,0
100,100,5,0.10,all_rebid,rolling deploy,500,11403,1.06,1.06,0.0504,0
100,100,5,0.20,compare_to_percentile,10% start,1000,27170,1.93,1.04,0.0032,0
100,100,5,0.20,compare_to_percentile,cold start,6300,149732,11.41,1.11,0.0179,0
100,100,5,0.20,compare_to_percentile,rolling deploy,500,13090,0.94,0.94,0.0095,0
100,100,5,0.20,all_rebid,10% start,1000,52808,1.96,1.11,0.0034,0
100,100,5,0.20,all_rebid,cold start,6300,282530,11.38,1.51,0.0140,0
100,100,5,0.20,all_rebid,rolling deploy,500,22509,1.03,1.03,0.0095,0
150,150,1,0.05,compare_to_percentile,10% start,1500,18192,8.83,1.00,0.0045,0
150,150,1,0.05,compare_to_percentile,cold start,9450,114312,54.55,1.10,0.0173,0
150,150,1,0.05,compare_to_percentile,rolling deploy,800,9624,5.28,0.91,0.0421,0
150,150,1,0.05,all_rebid,10% start,1500,31794,8.88,0.94,0.0045,0
150,150,1,0.05,all_rebid,cold start,9450,199626,54.61,1.12,0.0183,0
150,150,1,0.05,all_rebid,rolling deploy,800,16842,5.35,0.92,0.0492,0
150,150,1,0.10,compare_to_percentile,10% start,1500,25636,8.76,1.05,0.0046,0
150,150,1,0.10,compare_to_percentile,cold start,9450,162078,54.46,1.06,0.0147,0
150,150,1,0.10,compare_to_percentile,rolling deploy,800,13651,5.32,0.92,0.0092,0
150,150,1,0.10,all_rebid,10% start,1500,46996,8.91,1.09,0.0035,0
150,150,1,0.10,all_rebid,cold start,9450,294995,54.82,1.11,0.0173,0
150,150,1,0.10,all_rebid,rolling deploy,800,24862,5.31,0.94,0.0090,0
150,150,1,0.20,compare_to_percentile,10% start,1500,48384,8.83,1.11,0.0013,0
150,150,1,0.20,compare_to_percentile,cold start,9450,311200,54.74,1.09,0.0160,0
150,150,1,0.20,compare_to_percentile,rolling deploy,800,25760,5.35,0.94,0.0090,0
150,150,1,0.20,all_rebid,10% start,1500,93086,8.88,1.09,0.0040,0
150,150,1,0.20,all_rebid,cold start,9450,587247,55.03,1.11,0.0151,0
150,150,1,0.20,all_rebid,rolling deploy,800,49288,5.31,0.93,0.0090,0
150,150,2,0.05,compare_to_percentile,10% start,1500,18240,4.50,1.00,0.0039,0
150,150,2,0.05,compare_to_percentile,cold start,9450,114936,27.67,1.10,0.0163,0
150,150,2,0.05,compare_to_percentile,rolling deploy,800,9684,2.67,0.92,0.0506,0
150,150,2,0.05,all_rebid,10% start,1500,32067,4.47,1.03,0.0034,0
150,150,2,0.05,all_rebid,cold start,9450,201096,27.71,1.25,0.0172,0
150,150,2,0.05,all_rebid,rolling deploy,800,16905,2.69,0.93,0.0451,0
150,150,2,0.10,compare_to_percentile,10% start,1500,25840,4.42,1.05,0.0034,0
150,150,2,0.10,compare_to_percentile,cold start,9450,163727,27.60,1.10,0.0177,0
150,150,2,0.10,compare_to_percentile,rolling deploy,800,13634,2.71,1.03,0.0090,0
150,150,2,0.10,all_rebid,10% start,1500,47151,4.49,1.05,0.0038,0
150,150,2,0.10,all_rebid,cold start,9450,299894,27.88,1.12,0.0173,0
150,150,2,0.10,all_rebid,rolling deploy,800,25110,2.81,1.09,0.0090,0
150,150,2,0.20,compare_to_percentile,10% start,1500,50464,4.54,1.16,0.0026,0
150,150,2,0.20,compare_to_percentile,cold start,9450,324448,27.83,1.20,0.0160,0
150,150,2,0.20,compare_to_percentile,rolling deploy,800,26016,2.71,1.07,0.0090,0
150,150,2,0.20,all_rebid,10% start,1500,93879,4.50,1.05,0.0028,0
150,150,2,0.20,all_rebid,cold start,9450,603778,28.58,1.47,0.0168,0
150,150,2,0.20,all_rebid,rolling deploy,800,49593,2.89,1.13,0.0090,0
150,150,5,0.05,compare_to_percentile,10% start,1500,20400,1.83,0.93,0.0040,0
150,150,5,0.05,compare_to_percentile,cold start,9450,117204,11.38,1.31,0.0187,0
150,150,5,0.05,compare_to_percentile,rolling deploy,800,9984,1.75,1.09,0.0293,0
