numCells,numAuctioneers,concurrentAuctionsPerAuctioneer,maxBiddingPoolFraction,algorithm,scenario,# auctions,communication,waitTime,biddingTime,distributionScore,nMissing
200,200,10,0.20,compare_to_percentile,cold start,12535,3188120,16.20,12.18,0.0237,0
200,200,10,0.20,all_rebid,10% start,2000,404674,2.64,2.63,0.0300,0
200,200,10,0.20,all_rebid,cold start,12515,4512203,21.96,17.10,0.0241,-6
200,200,10,0.50,compare_to_percentile,10% start,1990,1395755,6.97,6.97,0.0281,-2
200,200,10,0.50,compare_to_percentile,cold start,11499,21324530,125.64,124.32,0.0104,-812
200,200,10,0.50,all_rebid,10% start,2000,1508501,6.83,6.83,0.0332,0
200,200,10,0.50,all_rebid,cold start,11933,28742509,192.15,164.18,0.0048,-1598
250,250,1,0.20,compare_to_percentile,10% start,2500,132288,9.78,1.91,0.0155,0
250,250,1,0.20,compare_to_percentile,cold start,15750,841308,54.89,1.86,0.0156,0
250,250,1,0.20,all_rebid,10% start,2500,255429,8.93,1.08,0.0200,0
250,250,1,0.20,all_rebid,cold start,15750,1677404,56.11,1.63,0.0169,0
250,250,1,0.50,compare_to_percentile,10% start,2500,326771,9.10,1.14,0.0155,0
250,250,1,0.50,compare_to_percentile,cold start,15750,2217293,56.07,1.83,0.0156,0
250,250,1,0.50,all_rebid,10% start,2500,641556,9.26,1.13,0.0126,0
250,250,1,0.50,all_rebid,cold start,15750,4445155,58.65,1.71,0.0159,0
250,250,2,0.20,compare_to_percentile,10% start,2500,134680,4.48,0.95,0.0155,0
250,250,2,0.20,compare_to_percentile,cold start,15750,878748,27.82,1.13,0.0175,0
250,250,2,0.20,all_rebid,10% start,2500,260681,4.56,1.08,0.0200,0
250,250,2,0.20,all_rebid,cold start,15750,1775224,28.67,1.66,0.0169,0
250,250,2,0.50,compare_to_percentile,10% start,2500,343027,4.68,1.10,0.0179,0
250,250,2,0.50,compare_to_percentile,cold start,15750,2751836,29.83,2.33,0.0168,0
250,250,2,0.50,all_rebid,10% start,2500,749985,5.96,2.24,0.0126,0
250,250,2,0.50,all_rebid,cold start,15750,8786054,45.49,10.66,0.0181,0
250,250,5,0.20,compare_to_percentile,10% start,2500,159692,1.96,1.05,0.0200,0
250,250,5,0.20,compare_to_percentile,cold start,15750,2989868,18.99,10.47,0.0219,0
250,250,5,0.20,all_rebid,10% start,2500,333199,2.47,1.58,0.0283,0
250,250,5,0.20,all_rebid,cold start,15746,5857905,27.90,18.10,0.0202,-4
250,250,5,0.50,compare_to_percentile,10% start,2500,1104385,5.70,5.06,0.0165,-7
250,250,5,0.50,compare_to_percentile,cold start,15737,18179170,76.43,61.74,0.0227,-94
250,250,5,0.50,all_rebid,10% start,2500,1995855,8.89,8.82,0.0316,-1
250,250,5,0.50,all_rebid,cold start,15612,27168240,108.14,92.70,0.0217,-43
250,250,10,0.20,compare_to_percentile,10% start,2500,379444,2.79,2.78,0.0237,0
250,250,10,0.20,compare_to_percentile,cold start,15750,7158256,31.61,27.96,0.0251,-66
250,250,10,0.20,all_rebid,10% start,2500,728613,3.99,3.91,0.0379,0
250,250,10,0.20,all_rebid,cold start,15629,10615982,65.22,44.53,0.0239,-38
250,250,10,0.50,compare_to_percentile,10% start,2490,2184594,13.61,13.59,0.0300,-33
250,250,10,0.50,compare_to_percentile,cold start,13458,41685330,229.74,104.34,0.0050,-1675
