numCells,numAuctioneers,concurrentAuctionsPerAuctioneer,maxBiddingPoolFraction,algorithm,scenario,# auctions,communication,waitTime,biddingTime,distributionScore,nMissing
50,50,5,0.10,compare_to_percentile,cold start,3150,41040,11.21,0.93,0.0151,0
50,50,5,0.10,compare_to_percentile,rolling deploy,300,4140,1.75,0.91,0.0084,0
50,50,5,0.10,all_rebid,10% start,500,12936,1.83,0.93,0.0048,0
50,50,5,0.10,all_rebid,cold start,3150,73248,11.53,1.13,0.0173,0
50,50,5,0.10,all_rebid,rolling deploy,300,6930,1.74,0.92,0.0053,0
50,50,5,0.20,compare_to_percentile,10% start,500,8508,1.83,0.94,0.0046,0
50,50,5,0.20,compare_to_percentile,cold start,3150,42612,11.30,0.95,0.0177,0
50,50,5,0.20,compare_to_percentile,rolling deploy,300,3972,1.77,0.94,0.0075,0
50,50,5,0.20,all_rebid,10% start,500,13608,1.83,0.94,0.0043,0
50,50,5,0.20,all_rebid,cold start,3150,72933,11.33,1.02,0.0147,0
50,50,5,0.20,all_rebid,rolling deploy,300,6909,1.74,0.93,0.0146,0
100,100,1,0.05,compare_to_percentile,10% start,1000,12192,8.72,0.92,0.0044,0
100,100,1,0.05,compare_to_percentile,cold start,6300,76152,54.36,0.96,0.0168,0
100,100,1,0.05,compare_to_percentile,rolling deploy,500,6024,4.43,0.91,0.0353,0
100,100,1,0.05,all_rebid,10% start,1000,21441,9.08,1.16,0.0040,0
100,100,1,0.05,all_rebid,cold start,6300,133392,54.60,1.00,0.0155,0
100,100,1,0.05,all_rebid,rolling deploy,500,10563,4.43,0.92,0.0408,0
100,100,1,0.10,compare_to_percentile,10% start,1000,12204,8.84,1.00,0.0042,0
100,100,1,0.10,compare_to_percentile,cold start,6300,75912,54.54,0.98,0.0160,0
100,100,1,0.10,compare_to_percentile,rolling deploy,500,6036,4.46,0.93,0.0392,0
100,100,1,0.10,all_rebid,10% start,1000,21210,8.82,0.93,0.0048,0
100,100,1,0.10,all_rebid,cold start,6300,132930,54.57,0.92,0.0162,0
100,100,1,0.10,all_rebid,rolling deploy,500,10563,4.42,0.91,0.0577,0
100,100,1,0.20,compare_to_percentile,10% start,1000,22264,8.83,0.92,0.0024,0
100,100,1,0.20,compare_to_percentile,cold start,6300,140140,54.55,1.08,0.0119,0
100,100,1,0.20,compare_to_percentile,rolling deploy,500,11044,4.43,0.91,0.0095,0
100,100,1,0.20,all_rebid,10% start,1000,41615,8.79,0.93,0.0033,0
100,100,1,0.20,all_rebid,cold start,6300,261047,54.84,0.95,0.0147,0
100,100,1,0.20,all_rebid,rolling deploy,500,20582,4.46,0.94,0.0095,0
100,100,2,0.05,compare_to_percentile,10% start,1000,12264,4.44,0.91,0.0045,0
100,100,2,0.05,compare_to_percentile,cold start,6300,76572,27.62,1.04,0.0151,0
100,100,2,0.05,compare_to_percentile,rolling deploy,500,6156,2.62,0.91,0.0472,0
100,100,2,0.05,all_rebid,10% start,1000,21399,4.44,0.92,0.0039,0
100,100,2,0.05,all_rebid,cold start,6300,133917,27.73,0.94,0.0170,0
100,100,2,0.05,all_rebid,rolling deploy,500,10668,2.68,0.94,0.0520,0
100,100,2,0.10,compare_to_percentile,10% start,1000,12372,4.44,0.92,0.0039,0
100,100,2,0.10,compare_to_percentile,cold start,6300,76284,27.61,0.92,0.0160,0
